SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,BIRTHS2010,BIRTHS2011,BIRTHS2012,DEATHS2010,DEATHS2011,DEATHS2012,NATURALINC2010,NATURALINC2011,NATURALINC2012,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,NETMIG2010,NETMIG2011,NETMIG2012,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,RBIRTH2011,RBIRTH2012,RDEATH2011,RDEATH2012,RNATURALINC2011,RNATURALINC2012,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RDOMESTICMIG2011,RDOMESTICMIG2012,RNETMIG2011,RNETMIG2012
040,3,6,01,000,Alabama,Alabama,4779736,4779745,4784762,4803689,4822023,5017,18927,18334,14587,61937,60990,12063,48323,48719,2524,13614,12271,1369,4914,6005,1059,331,-133,2428,5245,5872,65,68,191,115816,115816,114854,114854,12.919083593,12.672309332,10.079417416,10.122679756,2.8396661776,2.5496295755,1.024983076,1.2476999104,0.0690413916,-0.027634319,1.0940244676,1.220065591
050,3,6,01,001,Alabama,Autauga County,54571,54571,54634,55392,55514,63,758,122,162,672,672,109,431,449,53,241,223,15,42,77,-6,430,-177,9,472,-100,1,45,-1,455,455,455,455,12.215294567,12.118370512,7.8345118427,8.0969469641,4.3807827241,4.0214235479,0.7634559104,1.3885632878,7.816334321,-3.191892233,8.5797902314,-1.803328945
050,3,6,01,003,Alabama,Baldwin County,182265,182265,183275,186830,190790,1010,3555,3960,534,2162,2150,457,1758,1797,77,404,353,71,252,272,858,2762,3304,929,3014,3576,4,137,31,2307,2307,2276,2276,11.683170992,11.387108734,9.5000067548,9.5175043695,2.1831642372,1.8696043642,1.3617757123,1.440601663,14.925494117,17.499073142,16.287269829,18.939674805
050,3,6,01,005,Alabama,Barbour County,27457,27457,27366,27313,27201,-91,-53,-112,69,295,243,99,278,309,-30,17,-66,6,27,29,-69,-108,-73,-63,-81,-44,2,11,-2,3193,3193,3395,3395,10.790248541,8.9151410647,10.168437609,11.336537403,0.6218109329,-2.421396339,0.9875820699,1.063946876,-3.95032828,-2.678211102,-2.96274621,-1.614264226
050,3,6,01,007,Alabama,Bibb County,22915,22919,22863,22738,22597,-56,-125,-141,52,238,209,59,226,220,-7,12,-11,2,2,4,-52,-131,-134,-50,-129,-130,1,-8,0,2224,2224,2231,2231,10.43836758,9.2202492555,9.9120633319,9.7055255321,0.5263042477,-0.485276277,0.0877173746,0.1764641006,-5.745488038,-5.91154737,-5.657770663,-5.735083269
050,3,6,01,009,Alabama,Blount County,57322,57322,57359,57748,57826,37,389,78,168,718,687,139,543,575,29,175,112,9,36,40,-1,129,-70,8,165,-30,0,49,-4,489,489,489,489,12.475349023,11.88848703,9.4346998879,9.9503348504,3.0406491352,1.9381521796,0.6255049649,0.692197207,2.2413927911,-1.211345112,2.866897756,-0.519147905
050,3,6,01,011,Alabama,Bullock County,10914,10915,10880,10599,10474,-35,-281,-125,39,171,145,40,108,106,-1,63,39,0,-1,0,-34,-357,-165,-34,-358,-165,0,14,1,1690,1690,1692,1692,15.922528982,13.761685569,10.056334094,10.060266692,5.866194888,3.7014188772,-0.093114205,0,-33.24177103,-15.6598491,-33.33488524,-15.6598491
050,3,6,01,013,Alabama,Butler County,20947,20946,20929,20598,20307,-17,-331,-291,66,241,225,97,237,245,-31,4,-20,1,4,6,16,-364,-281,17,-360,-275,-3,25,4,333,333,333,333,11.60690635,11.00110011,11.414260602,11.978975675,0.1926457485,-0.977875565,0.1926457485,0.2933626696,-17.53076312,-13.73915169,-17.33811737,-13.44578902
050,3,6,01,015,Alabama,Calhoun County,118572,118572,118423,117815,117296,-149,-608,-519,319,1435,1415,344,1367,1348,-25,68,67,17,35,48,-138,-658,-637,-121,-623,-589,-3,-53,3,2919,2919,2859,2859,12.148765228,12.036867692,11.573074611,11.466924134,0.5756906171,0.5699435586,0.296311347,0.4083177733,-5.570653324,-5.418717117,-5.274341977,-5.010399343
050,3,6,01,017,Alabama,Chambers County,34215,34215,34125,34005,34064,-90,-120,59,90,395,368,121,467,458,-31,-72,-90,6,27,29,-64,-81,120,-58,-54,149,-1,6,0,458,458,458,458,11.595479231,10.812557846,13.709085572,13.456933406,-2.113606341,-2.64437556,0.7926023778,0.8520765694,-2.377807133,3.5258340801,-1.585204756,4.3779106495
050,3,6,01,019,Alabama,Cherokee County,25989,25986,25981,26094,26021,-5,113,-73,50,201,200,87,306,300,-37,-105,-100,2,10,11,29,182,19,31,192,30,1,26,-3,290,290,290,290,7.7196351416,7.6753333973,11.752280365,11.513000096,-4.032645223,-3.837666699,0.3840614498,0.4221433369,6.9899183869,0.7291566727,7.3739798368,1.1513000096
050,3,6,01,021,Alabama,Chilton County,43643,43642,43700,43814,43819,58,114,5,132,587,561,120,449,454,12,138,107,11,30,35,35,-55,-136,46,-25,-101,0,1,-1,393,393,393,393,13.414996458,12.803395981,10.261215348,10.361393539,3.1537811093,2.442002442,0.685604589,0.7987858455,-1.256941746,-3.103853571,-0.571337157,-2.305067726
050,3,6,01,023,Alabama,Choctaw County,13859,13858,13836,13629,13633,-22,-207,4,36,144,126,54,154,172,-18,-10,-46,1,7,9,-4,-211,42,-3,-204,51,-1,7,-1,129,129,129,129,10.486073184,9.2436358301,11.214272711,12.61829653,-0.728199527,-3.3746607,0.5097396687,0.6602597021,-15.36501001,3.0812119434,-14.85527034,3.7414716455
050,3,6,01,025,Alabama,Clarke County,25833,25840,25757,25600,25161,-83,-157,-439,57,279,278,88,323,311,-31,-44,-33,1,2,2,-52,-101,-415,-51,-99,-413,-1,-14,7,280,280,280,280,10.865120626,10.953290912,12.578616352,12.253501704,-1.713495726,-1.300210792,0.0778861694,0.078800654,-3.933251553,-16.35113571,-3.855365383,-16.27233506
050,3,6,01,027,Alabama,Clay County,13932,13932,13882,13656,13435,-50,-226,-221,31,146,135,52,200,206,-21,-54,-71,1,3,6,-27,-173,-158,-26,-170,-152,-3,-2,2,255,255,236,236,10.603529668,9.9664095087,14.525383107,15.208002658,-3.921853439,-5.241593149,0.2178807466,0.4429515337,-12.56445639,-11.66439039,-12.34657564,-11.22143885
050,3,6,01,029,Alabama,Cleburne County,14972,14972,14962,14937,14832,-10,-25,-105,39,171,145,47,192,184,-8,-21,-39,0,-2,-2,3,-42,-64,3,-44,-66,-5,40,0,178,178,178,178,11.438509649,9.7416775841,12.843238904,12.361852934,-1.404729255,-2.62017535,-0.133783739,-0.134367967,-2.80945851,-4.299774934,-2.943242249,-4.4341429
050,3,6,01,031,Alabama,Coffee County,49948,49948,50135,50485,51252,187,350,767,169,726,712,112,522,516,57,204,196,31,82,165,101,64,403,132,146,568,-2,0,3,600,600,598,598,14.43053071,13.996874294,10.375670841,10.143802157,4.0548598688,3.853072137,1.6298946532,3.2436576663,1.2721129,7.9223881184,2.9020075532,11.166045785
050,3,6,01,033,Alabama,Colbert County,54428,54428,54489,54419,54446,61,-70,27,158,614,614,174,674,660,-16,-60,-46,12,37,40,62,-27,38,74,10,78,3,-20,-5,474,474,474,474,11.275572042,11.28002572,12.377419473,12.12510908,-1.101847431,-0.84508336,0.6794725824,0.7348550958,-0.495831344,0.698112341,0.1836412385,1.4329674367
050,3,6,01,035,Alabama,Conecuh County,13228,13228,13195,13100,12981,-33,-95,-119,40,157,136,51,182,195,-11,-25,-59,0,0,0,-21,-81,-58,-21,-81,-58,-1,11,-2,45,45,45,45,11.941433733,10.429047966,13.842935919,14.953414363,-1.901502187,-4.524366397,0,0,-6.160867085,-4.447682221,-6.160867085,-4.447682221
