rank	msaname	county_fips
1	New York-Northern New Jersey-Long Island, NY-NJ-PA	34003,34013,34017,34019,34023,34025,34027,34029,34031,34035,34037,34039,36005,36047,36059,36061,36079,36081,36085,36087,36103,36119,42103
2	Los Angeles-Long Beach-Santa Ana, CA	06037,06059
3	Chicago-Joliet-Naperville, IL-IN-WI	17031,17037,17043,17063,17089,17093,17097,17111,17197,18073,18089,18111,18127,55059
4	Dallas-Fort Worth-Arlington, TX	48085,48113,48119,48121,48139,48231,48251,48257,48367,48397,48439,48497
5	Houston-Sugar Land-Baytown, TX	48015,48039,48071,48157,48167,48201,48291,48339,48407,48473
6	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	10003,24015,34005,34007,34015,34033,42017,42029,42045,42091,42101
7	Washington-Arlington-Alexandria, DC-VA-MD-WV	11001,24009,24017,24021,24031,24033,51013,51043,51059,51061,51107,51153,51177,51179,51187,51510,51600,51610,51630,51683,51685,54037
8	Miami-Fort Lauderdale-Pompano Beach, FL	12011,12086,12099
9	Atlanta-Sandy Springs-Marietta, GA	13013,13015,13035,13045,13057,13063,13067,13077,13085,13089,13097,13113,13117,13121,13135,13143,13149,13151,13159,13171,13199,13217,13223,13227,13231,13247,13255,13297
10	Boston-Cambridge-Quincy, MA-NH	25009,25017,25021,25023,25025,33015,33017
11	San Francisco-Oakland-Fremont, CA	06001,06013,06041,06075,06081
12	Riverside-San Bernardino-Ontario, CA	06065,06071
13	Detroit-Warren-Livonia, MI	26087,26093,26099,26125,26147,26163
14	Phoenix-Mesa-Glendale, AZ	04013,04021
15	Seattle-Tacoma-Bellevue, WA	53033,53053,53061
16	Minneapolis-St. Paul-Bloomington, MN-WI	27003,27019,27025,27037,27053,27059,27123,27139,27141,27163,27171,55093,55109
17	San Diego-Carlsbad-San Marcos, CA	06073
18	Tampa-St. Petersburg-Clearwater, FL	12053,12057,12101,12103
19	St. Louis, MO-IL	17005,17013,17027,17083,17117,17119,17133,17163,29071,29099,29113,29183,29189,29219,29221,29510
20	Baltimore-Towson, MD	24003,24005,24013,24025,24027,24035,24510
21	Denver-Aurora-Broomfield, CO	08001,08005,08014,08019,08031,08035,08039,08047,08059,08093
